comune_istat_val;comune_cat_val;comune_amm_val;comune_descrizione_val;fascia_val;zona_val;linkzona;cod_tip;descr_tipologia;stato;stato_prev_val;compr_min;compr_max;loc_min;loc_max;sup_nl_loc;semestre;comune_istat_zone;comune_cat_zone;comune_amm_zone;comune_descrizione_zone;fascia_zone;zona_descr;zona_zone;cod_tip_prev;descr_tip_prev;stato_prev_zone;microzona
5023091;D6AA;L781;VERONA;B;B2;VR00000844;20;Abitazioni civili;NORMALE;P;2900;4000;10.5;14.5;L;2023_2;5023091;D6AA;L781;VERONA;B;'CENTRO STORICO. S.STEFANO. S.MARIA ROCCA MAGGIORE. LUNGADIGE PORTA VITTORIA';B2;20;Abitazioni civili;N;1.0
5023091;D6AA;L781;VERONA;B;B2;VR00000844;20;Abitazioni civili;OTTIMO; ;4000;5600;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;B;'CENTRO STORICO. S.STEFANO. S.MARIA ROCCA MAGGIORE. LUNGADIGE PORTA VITTORIA';B2;20;Abitazioni civili;N;1.0
5023091;D6AA;L781;VERONA;B;B2;VR00000844;21;Abitazioni di tipo economico;NORMALE;P;2300;3300;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;B;'CENTRO STORICO. S.STEFANO. S.MARIA ROCCA MAGGIORE. LUNGADIGE PORTA VITTORIA';B2;20;Abitazioni civili;N;1.0
5023091;D6AA;L781;VERONA;B;B2;VR00000844;5;Negozi;NORMALE;P;2600;5200;25;45;L;2023_2;5023091;D6AA;L781;VERONA;B;'CENTRO STORICO. S.STEFANO. S.MARIA ROCCA MAGGIORE. LUNGADIGE PORTA VITTORIA';B2;20;Abitazioni civili;N;1.0
5023091;D6AA;L781;VERONA;B;B2;VR00000844;6;Uffici;NORMALE;P;1950;2900;7;10.5;L;2023_2;5023091;D6AA;L781;VERONA;B;'CENTRO STORICO. S.STEFANO. S.MARIA ROCCA MAGGIORE. LUNGADIGE PORTA VITTORIA';B2;20;Abitazioni civili;N;1.0
5023091;D6AA;L781;VERONA;B;B5;VR00000839;20;Abitazioni civili;NORMALE;P;2000;2700;7.5;10.5;L;2023_2;5023091;D6AA;L781;VERONA;B;'B.GO TRENTO. PINDEMONTE. VALDONEGA';B5;20;Abitazioni civili;N;2.0
5023091;D6AA;L781;VERONA;B;B5;VR00000839;21;Abitazioni di tipo economico;NORMALE;P;1650;2150;7.5;9;L;2023_2;5023091;D6AA;L781;VERONA;B;'B.GO TRENTO. PINDEMONTE. VALDONEGA';B5;20;Abitazioni civili;N;2.0
5023091;D6AA;L781;VERONA;B;B5;VR00000839;13;Box;NORMALE;P;1600;2200;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;B;'B.GO TRENTO. PINDEMONTE. VALDONEGA';B5;20;Abitazioni civili;N;2.0
5023091;D6AA;L781;VERONA;B;B5;VR00000839;1;Ville e Villini;NORMALE;P;2550;3800;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;B;'B.GO TRENTO. PINDEMONTE. VALDONEGA';B5;20;Abitazioni civili;N;2.0
5023091;D6AA;L781;VERONA;B;B5;VR00000839;5;Negozi;NORMALE;P;1400;2800;9.5;19;L;2023_2;5023091;D6AA;L781;VERONA;B;'B.GO TRENTO. PINDEMONTE. VALDONEGA';B5;20;Abitazioni civili;N;2.0
5023091;D6AA;L781;VERONA;B;B5;VR00000839;6;Uffici;NORMALE;P;1500;2250;7;10;L;2023_2;5023091;D6AA;L781;VERONA;B;'B.GO TRENTO. PINDEMONTE. VALDONEGA';B5;20;Abitazioni civili;N;2.0
5023091;D6AA;L781;VERONA;B;B6;VR00001296;20;Abitazioni civili;NORMALE;P;1900;2600;9;12.5;L;2023_2;5023091;D6AA;L781;VERONA;B;'VERONETTA';B6;20;Abitazioni civili;N;0.0
5023091;D6AA;L781;VERONA;B;B6;VR00001296;21;Abitazioni di tipo economico;NORMALE;P;1450;1950;7.5;10.5;L;2023_2;5023091;D6AA;L781;VERONA;B;'VERONETTA';B6;20;Abitazioni civili;N;0.0
5023091;D6AA;L781;VERONA;B;B6;VR00001296;5;Negozi;NORMALE;P;1200;2400;9;15;L;2023_2;5023091;D6AA;L781;VERONA;B;'VERONETTA';B6;20;Abitazioni civili;N;0.0
5023091;D6AA;L781;VERONA;B;B6;VR00001296;6;Uffici;NORMALE;P;1600;2300;6;9;L;2023_2;5023091;D6AA;L781;VERONA;B;'VERONETTA';B6;20;Abitazioni civili;N;0.0
5023091;D6AA;L781;VERONA;B;B7;VR00001297;20;Abitazioni civili;NORMALE;P;2100;2900;8;11.5;L;2023_2;5023091;D6AA;L781;VERONA;B;'S.ZENO. PORTA PALIO. VALVERDE. CITTADELLA. PORTA NUOVA (DENTRO MURA)';B7;20;Abitazioni civili;N;0.0
